ITEM,VALUE
Title,The right of the Palestinian people to self-determination
Body,General Assembly
Resolution,https://digitallibrary.un.org/record/3848251
Date,2019-12-18
Path,https://digitallibrary.un.org/record/3840115
Yes,167
No,5
Abstentions,11
Non-Voting,10
Total voting membership,193
